Código;Data do relatório;Espécie;Captura (Kg);Valor R$/Kg
3482375;03/05/2023;Sardinha-verdadeira;178.000,00;1,2
3482375;03/05/2023;Sardinha-verdadeira;180.000,00;1,2
3298221;03/05/2023;Sardinha-verdadeira;60.000,00;2
3250951;03/05/2023;Sardinha-verdadeira;200.000,00;2,8
3250951;03/05/2023;Sardinha-verdadeira;200.000,00;2,8
3159171;03/05/2023;Sardinha-verdadeira;103.230,00;2,6
5466651;04/05/2023;Sardinha-verdadeira;9.953,00;1,5
3298221;04/05/2023;Sardinha-verdadeira;7.000,00;2
3298221;05/05/2023;Sardinha-verdadeira;40.000,00;2
5466651;06/05/2023;Sardinha-verdadeira;96.525,00;1,5
3336751;06/05/2023;Sardinha-verdadeira;144.492,00;2,6
3298221;06/05/2023;Sardinha-verdadeira;5.000,00;2
3250951;06/05/2023;Sardinha-verdadeira;140.000,00;2,6
3482375;07/05/2023;Sardinha-verdadeira;12.000,00;1,2
3298221;08/05/2023;Sardinha-verdadeira;21.000,00;2
3250951;08/05/2023;Sardinha-verdadeira;100.000,00;2,6
3250951;08/05/2023;Sardinha-verdadeira;200.000,00;2,8
3336751;09/05/2023;Sardinha-verdadeira;155.429,00;2,6
3250951;09/05/2023;Sardinha-verdadeira;200.000,00;2,8
3250951;09/05/2023;Sardinha-verdadeira;180.000,00;2,8
5466651;10/05/2023;Sardinha-verdadeira;100;1,5
3159171;10/05/2023;Sardinha-verdadeira;952;2,2
3482375;11/05/2023;Sardinha-verdadeira;173.000,00;1,2
3482375;11/05/2023;Sardinha-verdadeira;25.000,00;1,2
3482375;11/05/2023;Sardinha-verdadeira;162.000,00;1,2
3250951;12/05/2023;Sardinha-verdadeira;130.000,00;2,6
3250951;12/05/2023;Sardinha-verdadeira;150.000,00;2,6
3482375;14/05/2023;Sardinha-verdadeira;60.000,00;1,2
3250951;14/05/2023;Sardinha-verdadeira;115.000,00;2,6
3159171;14/05/2023;Sardinha-verdadeira;82.950,00;1,8
5466651;15/05/2023;Sardinha-verdadeira;58.770,00;1,5
3482375;15/05/2023;Sardinha-verdadeira;177.000,00;1,2
3250951;15/05/2023;Sardinha-verdadeira;140.000,00;2,6
5466651;16/05/2023;Sardinha-verdadeira;88.540,00;1,5
3298221;16/05/2023;Sardinha-verdadeira;30.000,00;2
3298221;16/05/2023;Sardinha-verdadeira;5.000,00;2
3250951;16/05/2023;Sardinha-verdadeira;200.000,00;2,8
3159171;17/05/2023;Sardinha-verdadeira;51.780,00;2,6
5466651;18/05/2023;Sardinha-verdadeira;55.540,00;1,5
